Gene	L11.D8.Tox.KO1.Tim3p_S11	L13.D8.Tox.KO2.Tim3p_S13	L15.D8.Tox.KO3.Tim3p_S15	L17.D8.Tox.KO4.Tim3p_S2	L19.D8.Tox.KO5.Tim3p_S4	L1.D8.Tox.WT1.Tim3p_S1	L3.D8.Tox.WT2.Tim3p_S3	L5.D8.Tox.WT3.Tim3p_S5	L7.D8.Tox.WT4.Tim3p_S7	L9.D8.Tox.WT5.Tim3p_S9
Izumo1	0.117066472095776	0.196342734620445	0.088781718146808	0.127976495852895	0.0932660898729137	0.0894811853161769	0.121045769395288	0.0893573742789734	0.159594655471033	0.17655110285494
Izumo1r	6.36568197703469	7.28239014246015	6.62737123574208	6.16285807026822	6.27208429931468	5.44947091790218	5.60424943487144	6.00624271336773	5.97618016173356	6.13125236458675
Izumo4	7.93775177170218	8.06943563448707	7.9380649469773	7.65092071229668	7.64845370949079	8.15556721936023	8.1301840290721	7.78958645712113	7.89737919989825	7.95248156993099
Jade1	9.35359313009054	9.42479680893544	9.29861068232412	9.69832578621131	9.6173993804089	9.55900311341331	9.55865054439745	9.39822732053418	9.5060692511351	9.28247865811005
Jade2	7.01978752342979	7.24926791573859	7.3332590370446	7.31970114185949	6.9716378506376	7.28151976672577	7.16480929439057	7.02585788810492	7.04290607438846	7.14785007583231
Jade3	7.2623024016672	7.56158486342752	7.17653162049633	7.40805687043365	7.86639383706842	7.24289884361364	7.22533654895455	7.30709918701541	7.37880352601482	7.51687138222185
Jag1	0.639001147847288	0.699243525480722	0.670952310325084	0.793824953073003	0.646967638183057	0.640505064080191	0.93512540806277	0.640291450166419	0.679931367301123	0.639691657644969
Jag2	2.90278281645483	3.13446439456671	3.47862489071018	2.86061690916169	3.04196583833651	2.92998967993359	2.7674600599443	2.92615793103608	2.81551114294281	3.09291847262412
Jagn1	9.25408291006039	9.45526554941835	9.43166759774228	9.38326557183154	9.28625330786271	9.2253644100594	9.27184717265128	9.64240143680895	9.48241968236752	9.50789538145376
Jak1	13.8768806230371	13.7549959559417	13.7553244719796	14.0862686865901	14.1341145028764	14.3591510628887	14.0454955676945	13.499815302564	13.8886523742795	13.9321903497842
Jak2	11.6736370925058	11.7963516791213	11.7085070988459	11.7307282934821	11.8958410415337	11.9860000905435	11.7643980164005	11.5033146442653	11.6777323021505	11.7281729409073
Jak3	12.2840141280293	12.1650135026771	12.1494426523548	12.4663624067143	12.7164580431448	12.721025843332	12.3155883197272	11.8036767290938	12.2020664878424	12.065291936592
Jakmip1	9.73965024831473	9.8341705173063	9.65450648485509	9.96080675673932	10.1694443196729	10.4073786859609	10.1471457118503	9.6267949701214	10.1218530902084	9.69713352630945
Jam2	3.63361667818585	3.76868687482199	3.7445942501989	3.53751606111461	3.82497750525179	3.74479709626709	3.600214514829	3.71630417374554	3.66272085959903	3.6316664971528
Jam3	1.31323736125338	1.26348826816734	1.15793887335571	1.20666544245122	1.27878680633983	1.16251460260524	1.12939616811339	1.22313956381554	1.20192097483868	1.12865896407285
Jaml	10.5293063935603	10.3815412891189	10.6555725574731	10.604726431314	10.8846266570376	10.4416854509903	10.4659124787718	10.5873912362615	10.6352370156422	10.2729646330973
Jarid2	10.8253167712372	10.5831641963217	10.7420072438431	11.1364173545807	11.0576266057278	11.1990587553828	10.8149733173278	10.4843418487663	10.8856222709724	10.6177171923374
Jazf1	7.59621125020153	7.74092332313614	7.88602018973646	7.27518935820165	7.43457452178524	7.43344602442257	6.81948275209766	6.55677788829464	6.89965014858438	7.12689469632777
Jcad	5.3285618161773	5.32433901541855	5.78268618725336	5.99553597645227	5.7908310796325	4.83441359356298	5.26910401770547	5.58617060435375	5.53147476476686	5.32775738772828
Jchain	13.2789550017663	13.6247900588083	13.5582952687291	12.8162323973124	11.9135785623457	11.6463820053275	13.388447355687	13.9638800330687	13.9759988032217	13.2792713564936
Jdp2	9.19977963925856	9.29097767157356	9.18918277447644	8.93121146636942	8.80912803507224	9.14095553143338	9.18342058216167	9.33727238823691	9.01659628748836	9.10105598231356
Jkamp	9.05620429391977	9.00012685387166	9.19094835818841	8.82845455425663	8.95342494585516	8.9993488297437	8.96495593411487	8.87363494452818	8.98276501260839	9.13182133045832
Jmjd1c	9.98902176541515	10.0859231554662	9.93332479625718	10.0007231858729	9.84098366645089	9.83540283573842	9.9489656043702	10.1362315240534	10.0276011520355	10.0074488281553
Jmjd4	7.94118738260929	7.90730635011556	7.8747776668691	7.77696283574097	8.17092594634032	8.07288713150697	7.97711274047518	7.77117330811286	7.71848718394662	7.89089643492692
Jmjd6	10.2841837741506	10.3727333008019	10.3033695489006	10.4788860708582	10.539563464765	10.526042868222	10.4002142549218	10.4096354698638	10.3801608974906	10.2919970358625
Jmjd7	4.70436157440508	4.7328041804999	4.97672413798352	4.98950849174056	4.81823164828752	4.87461445214171	4.71290293480166	4.61803511650245	4.71760538693579	4.73768233692306
Jmjd8	7.19092476535671	7.30426292841668	7.16881134530506	7.08904856577245	7.09517414482932	7.05322499160855	7.20125275681143	7.5069065058375	6.90696108415436	7.01257017410413
Jmy	6.21062613192227	6.41318156395079	6.47802500367408	6.31607537040456	6.40381768247846	6.54877230019845	6.53243971378092	6.64378494240851	6.39091944368715	6.31286833972353
Josd1	9.8512488646053	9.74539694949083	9.79363063453643	9.8967198202638	9.88156895090257	9.82545736593526	9.91274634944186	9.92548461284073	9.76409106264129	10.0942945420042
Josd2	8.7096045945929	8.86814409868086	8.87411109881706	8.45507123494933	8.56751966186864	8.50393904458607	8.56152378361444	8.81991347674026	8.62921899175897	9.00684301928137
Jph3	1.86561917817448	1.80227286520463	1.83703531713566	1.93936380081634	1.84436659335191	1.81065379574206	1.77268071813785	2.43826777482149	1.99807152846669	1.80632931151409
Jpt1	12.6370808373579	12.5924504098153	12.7226707738938	12.8311848092724	12.8345949410118	12.8380092626756	12.6724114408622	12.7669270548018	12.7186239283784	12.5746602904712
Jpt2	10.3112152443406	10.4176282346265	10.3726966376612	10.2923561428339	10.3896946889166	10.0882440780072	10.2915741814239	10.4228288092214	10.3517370364346	10.5131323971093
Jpx	5.03218021742653	4.74327141543247	4.94444155260838	4.67329982997791	4.53433559747292	4.81809645633515	5.19448068630077	4.85948659933615	4.96348502018489	5.03461040105232
Jrk	6.73278119446669	6.75527281214078	6.37673645466882	6.68212182702982	6.63176093362176	6.81426443907031	6.63774697869796	6.1876291913332	6.30331912253492	6.57753554637176
Jrkl	7.22832879697105	7.30124936928257	7.34270787648372	7.28030067897158	7.56508076572036	7.40931056972237	7.21763591477712	7.26685436354904	7.32599901032547	7.40837696990337
Jtb	10.7259838165642	10.8154612831908	10.6926520300689	10.7313767323449	10.5928964194726	10.6989174709836	10.6485970645142	10.7413132977639	10.7291972670239	10.7248176135437
Jun	9.12622446618044	9.3014034110655	9.26661362325762	9.35040804306443	8.76381618555287	8.770980056211	9.74975832834928	11.0297502461745	10.149299286923	9.41049746488767
Junb	11.74361814393	11.8809729676205	11.8974422190047	11.5399483212866	11.5358162704398	11.6742845310944	11.8500902905446	12.2642436984183	12.0168085387301	11.7641229428533
Jund	10.1573506119666	10.2149903007546	10.4473262100621	9.39426537024739	9.13577653128634	9.52776839304853	9.63038155320734	9.87048268181463	9.74613487852008	10.0660483662705
Junos	2.2394491041647	2.17140114807092	2.0223766656358	2.14664164036024	2.12115497293868	2.0615624072134	2.02938738917341	2.19680667890092	2.00520158256329	2.05398385428953
Jup	6.81743765486759	6.69645984759485	7.14989834493636	7.06992800929284	7.53489598657267	7.76331910846744	7.54766360816869	7.5398677156279	7.92127759236589	7.5553336585486
K230010J24Rik	1.44555184652802	1.44510665383578	1.47558568860553	1.43150259978612	1.58457642662506	1.59944099998465	1.3900394651246	1.48425072688955	1.49686962597242	1.47903180050119
K230015D01Rik	1.73864009341827	1.53228665444915	1.67087096430873	1.53802364611974	1.54521374026155	1.62867398575771	1.76156604380481	1.71047122787812	1.60642018141129	1.62162096997924
Kalrn	5.09846122626538	5.59098956445254	5.97449848100423	5.35060575652624	5.16589140960692	5.04892442361652	5.71725875282397	6.35887192327417	6.17301291204373	5.36939505532785
Kank2	1.74007668136087	1.62587972136457	1.68694648823786	1.84496665034312	1.64095810334946	1.62882931829002	1.86500862464552	1.83875494918059	1.73794727391243	1.80248924138399
Kank3	7.17948712377627	7.39605282927643	7.16445521847489	7.50311942692017	7.09377855262766	7.16446020453137	7.32326385246159	7.38584381996747	7.43489643299825	7.22354816185137
Kansl1	10.5533959859404	10.5555521566602	10.4832042064244	10.6833126177921	10.7598550499188	10.8582575210149	10.7306580253651	10.3289027080118	10.6260990252953	10.6162318176337
Kansl1l	7.60582197763053	7.8088418182842	7.88942500541397	7.78511980433512	7.85724409922094	7.56640510250711	7.51580533116783	7.43837300879375	7.74261453057719	7.47046414242189
Kansl2	9.36767404892253	9.39037828463981	9.30925408684948	9.54935009384998	9.38315444703131	9.29652767940225	9.37201638325494	9.52870579332921	9.37568372660908	9.19890214534994
Kansl2-ps	3.51570451937753	3.4056948608609	3.31588160477834	3.62459927189169	3.56370096692654	3.51770327620577	3.38838670404694	3.4882343279511	3.47536506924469	3.55868565741141
Kansl3	10.5680949056675	10.6198676774579	10.6243406441288	10.6283876622939	10.6976097857046	10.7467413934623	10.7142988157932	10.4288023646134	10.7965996919691	10.6063173013919
Kantr	7.31250939344186	7.34220945969464	7.2476677557239	7.258169008223	7.53294613321532	7.78438977225098	7.39064857118519	6.88844583225644	7.37208041419635	7.78938264255964
Kars	11.3929965497208	11.4515526138088	11.4490253480324	11.5945511488067	11.5419309885192	11.5827727967458	11.5585602085874	11.5111963436753	11.428689548031	11.5509821585597
Kat14	9.58304768734203	9.6407548534462	9.63592570822466	9.8537724252979	9.82804882188156	9.66842779854576	9.83383002044609	9.89215225068122	9.63418526569858	9.69060155129198
Kat2a	10.0617043512995	10.1293435157812	9.93751822742897	10.0468503666376	9.97968400679355	9.98995429678389	10.051092600224	10.084879956114	10.1446485283896	10.0049425758786
Kat2b	8.58995267908104	8.72831766174468	8.95658699699388	8.75032953252202	8.92305394518059	8.80618465689969	8.71592851936228	8.75009690084429	8.70249780407947	8.85662785619307
Kat5	9.71506544939953	9.73115059105986	9.63517560990291	9.95508331439049	9.89877900795208	9.86069043274162	9.89408451375738	9.88709079392413	9.75420722856854	9.72533209814956
Kat6a	8.96008229747923	9.03361563542101	8.97032085717163	9.80970213186252	9.54093484356753	10.2122923673157	9.6505574085879	9.37941426593553	9.51489924652524	8.90611329804272
Kat6b	7.02719704399527	7.01049918578967	7.18924000797063	7.32798689077047	7.22413148303738	7.32427746204986	7.04820722432808	7.06646360237096	7.00900278054646	6.87006317582353
Kat7	11.3196773025761	11.2880974772011	11.2013078977629	11.4791562827009	11.5564767677358	11.5158061946686	11.4000937141596	11.1141135561137	11.1565129836452	11.2678155704504
Kat8	8.54001785715012	8.67911036225121	8.56877963252974	8.37623317599404	8.49455913128382	8.46371019829004	8.61191831366865	8.70172160065886	8.75985982146341	8.49588020881458
Katna1	10.4284972265362	10.3636303575622	10.378177914153	10.6311157495411	10.6832553117916	10.444752649071	10.5136155010936	10.2769225271289	10.3652769229179	10.3671362114818
Katnal1	6.96017073038664	6.89729239688803	7.05932983898302	6.71134491848083	6.88033503867878	6.3143021586211	6.53905294994765	6.86045112262915	6.70998841447174	6.70110479033108
Katnb1	9.88123219919781	9.92600557757539	9.84171020835231	10.176407548144	10.1379067951425	10.0453514192809	10.0383666785759	9.84388138591788	9.88845199911456	9.85320991178681
Katnbl1	8.86538090951321	8.66739358652128	8.90471870589636	8.82367741658621	9.13630181210725	8.71385473174167	8.75354997856572	8.41743922671748	8.67717357382464	8.81693119869128
Kazald1	3.70249143992714	3.21375399647924	3.11589260685862	3.09837728004156	3.10582983024894	3.13642688035882	3.48142074585151	3.56131818284341	2.97548299087315	3.41843360464596
Kazn	2.37544018451263	2.44318739184608	2.18995915480539	2.24484340341553	2.32461820864663	2.16226688808972	2.28908659142965	2.42660156632614	2.51081678047261	2.30990176791384
Kbtbd11	7.30161850577837	7.46632951012948	7.34136825776976	7.25597779973855	7.37032603384492	7.33352136402326	7.40330997830895	7.22622984105285	7.32225321809051	7.51137939293298
Kbtbd12	2.14892558160529	2.40590820844002	2.30566261797423	2.25009821010746	2.08260781701782	2.13227136657065	2.21974162117292	2.24765569679186	2.17538441791931	2.21158028148479
Kbtbd2	10.7299956210753	10.4174561378799	10.6081271799226	10.5827897068715	10.6720912163741	10.7199294643983	10.6370382327248	10.3560097179051	10.5130131538138	10.7514995191722
Kbtbd3	7.36998622698529	7.35121251405271	7.44915894806203	7.14683797760846	7.1637137954136	7.23232621432859	7.23091957084865	7.2786899304651	7.28917111803746	7.36239520464061
Kbtbd4	8.13211242206012	8.26936707157501	8.01823693735664	8.17768245306954	8.31255548720444	8.19672573046141	8.13526786592569	7.93783581606155	8.2281591550094	8.1440826021246
Kbtbd6	6.1977122398511	5.64704303757754	5.80168609691358	5.81826004081852	6.10142413082492	5.86250678310143	5.42969432793978	5.69869870438578	5.359521485314	5.98194670401427
Kbtbd7	7.31350098342622	7.81672620891745	7.62011644196648	7.28274511668863	7.51125511779035	7.65051018123591	7.54118184538318	7.86257104249079	7.70929908063886	7.85405152966591
Kbtbd8	7.04639190802841	7.49947148161996	7.04301835642021	7.1363578275879	7.68990175475151	7.30562954241714	7.08196141028655	6.81092710722139	7.43527068415493	7.43333555777062
Kcmf1	10.2435698996699	10.2944421419767	10.2243085952606	10.1859286705936	10.2065212774952	10.0385829114038	10.1732155172674	10.3630832934014	10.1824148801254	10.2036748105544
