Gene	L21.Seq29.FA.11.WT.I	L22.Seq29.FA.11.KO.I	L23.Seq29.FA.12.WT.I	L24.Seq29.FA.12.KO.I	L25.Seq29.FA.13.WT.I	L26.Seq29.FA.13.KO.I	L27.Seq29.FA.14.WT.I	L28.Seq29.FA.14.KO.I	L29.Seq29.FA.15.WT.I	L30.Seq29.FA.15.KO.I
Gm16464	0.828216318283865	0.851418711287769	0.828572719017413	0.836060543744296	0.821743637111142	0.829278081842596	0.833894460100795	0.846516525172925	0.83999023507644	0.827095905270177
Gm1647	1.79699968298953	1.75258838918076	1.76558248817782	1.79417323803567	1.7526968058882	1.75263524288093	1.7992953854769	1.76941850473629	1.75492471812992	1.74996332770475
Gm16470	1.09311431794756	1.05358329708619	1.07431234654261	1.0750584135174	1.0687307794351	1.0686415826286	1.06569638185787	1.05948266104436	1.07195707359398	1.05292383015689
Gm16487	2.02569709600587	2.03526787151061	2.06073102361536	2.04843149521259	2.0204328641558	2.01276455207283	2.01175784479646	2.11497272215187	2.02288116228727	2.06384923630145
Gm16490	1.03093792301168	1.00635936803433	0.991156635356644	1.01285539105984	1.01398715440217	0.998927763807195	0.99721053842369	0.997278889880716	1.00972162969731	0.996669382649193
Gm16523	4.00775424093574	4.11196086834213	4.08835225751654	4.11196635898168	4.05984572690967	3.97265436916675	3.99019254793108	4.10755223761229	4.0741924547702	4.11137362333699
Gm16534	0.309183739259604	0.302657437918088	0.316425230283936	0.302591408441511	0.325061300036759	0.310154309635454	0.327174762455817	0.314970812338569	0.303000420191072	0.302272774311317
Gm16536	3.80833736309523	3.823360350206	3.77674876788888	3.85414181850359	3.93232757530191	3.9122480089524	3.85133572000656	3.79806452384562	3.94921957462689	3.85006286001235
Gm16538	2.46015498345108	2.46173444211104	2.5083079763374	2.49648410972256	2.49878831692546	2.50570276351029	2.5257990483025	2.50862766652153	2.47349466958228	2.49317741336321
Gm16540	1.00778357918732	1.03035188251341	1.03553288516792	1.02944415116771	1.03057042773483	1.0156098052586	1.03250322897498	1.00762698076239	1.00864827432451	1.02505494872868
Gm16549	3.25787142951104	3.25787020810253	3.24008927943639	3.31583234509843	3.31451605635388	3.30032330254781	3.24761062470127	3.28408847273401	3.25282030434424	3.25568207928301
Gm16550	0.433265293281809	0.39991913233655	0.39978701422904	0.414391834265035	0.39993667065521	0.399926711701924	0.399598125781774	0.399611200182734	0.435754598573815	0.411416155845535
Gm16565	4.62677579273387	4.54468611830444	4.51437241089633	4.49325689958349	4.5906531928369	4.47817768726804	4.5593175213483	4.4470538122462	4.63553667625386	4.47951414497332
Gm16570	1.13356026165011	1.12221030274157	1.12102964507665	1.12155954329837	1.12976515765425	1.11485278552393	1.11934088515079	1.11945780952948	1.10795161437722	1.13571418560317
Gm16573	4.39884021447633	4.33930892798854	4.2714275973297	4.40145077526489	4.31362324985268	4.33988351997426	4.26815634666547	4.38708227470217	4.32060060560443	4.35379393237822
Gm16574	0.715713652954536	0.717453083360296	0.702388450443392	0.702459821318255	0.739677292028755	0.710069210988198	0.739222022343597	0.708516867146634	0.703002836274294	0.70203663291261
Gm16575	5.49678865729508	5.47879061676909	5.58693897809327	5.64806183533106	5.602588004363	5.52778399755277	5.48412220458807	5.55043387911268	5.56072263344732	5.4920921505186
Gm16576	5.87058787136445	5.82359516591531	5.96259743452588	6.02216548606039	5.84390708787703	5.82475567365713	5.96055627415221	5.86499925944377	6.04529858787293	5.89017218268695
Gm16577	0.568483992219947	0.577585521773618	0.582833266074937	0.562410482610937	0.555273490918335	0.562797998097463	0.554903345892296	0.561277248936779	0.564583075661051	0.566599026086407
Gm16578	1.5765090361018	1.56441626950953	1.55666049275851	1.55678915543358	1.57199003940835	1.57189524399318	1.59325559427363	1.59962080778125	1.5841188502548	1.60207889298301
Gm16580	4.20774712278548	4.24211692723438	4.19388476900974	4.2362537505392	4.21695003859737	4.19589049570297	4.3061807565163	4.15291459300478	4.20998523968	4.22849388959832
Gm16585	0.486841367324429	0.501883826061151	0.48691380005186	0.501273743147911	0.502030736269536	0.487057227256707	0.511484802704966	0.511687957207197	0.487437890268831	0.492490622925924
Gm16618	4.64812329895246	4.61853567413323	4.66642062220907	4.60046734805197	4.66029350950574	4.70456489208962	4.74892035506034	4.78007351168701	4.71208981038196	4.72008190504833
Gm16619	2.45410940367088	2.48507472237098	2.46860824963051	2.47652979263322	2.47035362497049	2.57012555585551	2.47900457654483	2.52823818159795	2.47454750140979	2.53940461764618
Gm16638	4.11531744773624	4.05199446445568	4.17446198995417	4.06184732155004	4.06694688607008	4.07331062256712	4.04178851873051	4.060334117043	4.07899218111097	4.13707596625929
Gm16675	7.38858038694329	7.45882078217212	7.374856239746	7.39486620144947	7.61316262550506	7.45068165611701	7.66510247414226	7.45664996307809	7.78192172774794	7.48198204291594
Gm16702	6.7493998367847	6.78232189327507	6.82753520386686	6.82624410655698	6.77431987127166	6.76734712419651	6.76905361410995	6.74066645393741	6.55781019019376	6.74609626341915
Gm16712	3.69492763819931	3.79754534675152	3.78121560135732	3.74025612475769	3.70252281860381	3.70218024252544	3.78366575610973	3.69128321125148	3.78026763106759	3.73764460103717
Gm16731	2.72507363636927	2.68088848393164	2.67025472658682	2.6787374674207	2.65951251534648	2.68111216570347	2.67138225568196	2.64069539843649	2.66641144651729	2.66257703206413
Gm16740	4.48295944409857	4.49624997926753	4.52483987680546	4.44525655977977	4.45868579644358	4.43092959722861	4.42660815100948	4.46714371634875	4.50895488464754	4.45072320940876
Gm16741	4.50539374159877	4.3947368131603	4.34662435463507	4.36986854232795	4.44852050287809	4.44122394087836	4.42221319716378	4.43437939936562	4.40554966545475	4.3805222831644
Gm16751	0.856923357408545	0.85127826934296	0.857536452840086	0.858051430552866	0.873584670392992	0.843819655284228	0.843385286145399	0.886716743117004	0.844309793214603	0.849142497733168
Gm16754	4.12623382045052	4.11830930499602	4.13844013064092	4.08046596483887	4.10638053434407	4.10567449127553	4.02934654019028	4.07734857222805	4.05130530545796	4.08537939131461
Gm16755	2.31482816864529	2.32581386302806	2.3092358939368	2.31010583893019	2.32619459319412	2.31128484371599	2.33101935035524	2.33746973511596	2.34252547272708	2.32804143654573
Gm16793	4.21201057175767	4.20111375529441	4.33935629437202	4.26530193556819	4.26512847707524	4.29107163542985	4.27530443744079	4.27084337815989	4.22532103025162	4.37028422390927
Gm16794	6.34085409174676	6.43937972551002	6.2481952081058	6.45723152505485	6.46649746474824	6.35410447047811	6.43210453441666	6.35492024710748	6.49128282167717	6.46049266641824
Gm16845	3.80812811850632	3.79006666375432	3.77111600889299	3.84838293804974	3.9515417522826	3.92569385645465	3.83150637680075	3.81463797055495	3.76107415563236	3.77918948278459
Gm16853	0.389966373936662	0.390167379642148	0.417995488567105	0.390095157977402	0.390184772290042	0.390174896048175	0.421211002985236	0.389862013397774	0.425973073129947	0.389746415369766
Gm16861	3.09532598360714	3.09443736879633	3.06976450065601	3.14743660044849	3.13125200401058	3.21201404954323	3.12196651186234	3.09197058518409	3.08759854564862	3.0463966821742
Gm16892	1.32589489764235	1.28005676428622	1.30070447266625	1.3155320794237	1.30262152105105	1.29508256781085	1.27947582154862	1.30467411686682	1.28965653110722	1.27928855050115
