Gene	L21.D20.Tox.WT1_S6	L22.D20.Tox.WT2_S7	L23.D20.Tox.WT3_S8	L24.D20.Tox.WT4_S9	L25.D20.Tox.WT5_S10	L26.D20.Tox.KO1_S11	L27.D20.Tox.KO2_S12	L28.D20.Tox.KO3_S13	L29.D20.Tox.KO4_S14	L30.D20.Tox.KO5_S15
Pmp2	0	0	0	0	0	0	0	0	0	0
Pmp22	2	0	0	38	0	0	0	0	13	50
Pmpca	1645	2090	2494	2684	2468	3135	4188	2288	3413	2560
Pmpcb	648	585	623	996	716	911	1300	703	1117	970
Pms1	505	524	786	759	648	922	1475	815	911	701
Pms2	698	582	645	738	759	896	1148	640	724	834
Pmvk	280	206	205	298	186	250	296	203	303	476
Pnck	1	1	1	3	2	3	0	4	9	2
Pnisr	2667	2803	3000	2796	2944	4001	4574	2897	3290	3170
Pnkd	290	218	179	395	290	394	386	311	479	570
Pnkp	1671	1421	1518	1947	1608	1868	2144	1517	2181	2308
Pnldc1	19	5	19	5	8	6	9	15	7	16
Pnlip	0	0	1	2	4	1	0	0	1	0
Pnliprp1	1	0	0	0	0	0	0	8	23	6
Pnliprp2	0	0	0	0	0	0	0	0	0	0
Pnma1	0	0	0	1	0	4	1	4	3	0
Pnma2	0	0	0	0	0	0	0	0	0	7
Pnma3	0	0	0	0	0	0	0	0	0	0
Pnma5	0	0	0	0	0	0	0	0	0	0
Pnmal1	0	0	0	0	5	0	0	0	0	0
Pnmal2	0	0	0	0	0	0	0	0	0	0
Pnmt	0	0	0	0	1	0	0	0	0	0
Pnn	2441	1945	2336	2127	2255	3007	3232	1995	2651	2458
Pno1	362	381	331	624	369	511	714	418	615	776
Pnoc	3	0	2	0	3	1	3	1	0	1
Pnp	652	639	692	1034	713	713	894	710	1052	1174
Pnp2	4	3	9	18	10	6	10	4	8	65
Pnpla1	2	0	0	0	0	0	2	0	2	0
Pnpla1os	0	1	0	0	0	0	0	0	0	2
Pnpla2	1486	1238	1459	1857	1447	1729	2234	1392	1890	1639
Pnpla3	2	10	1	17	2	12	1	11	4	9
Pnpla5	0	0	0	0	0	0	0	0	0	0
Pnpla6	744	875	1019	976	1045	1343	1617	976	1156	1125
Pnpla7	1529	1913	2184	2117	2146	2868	3809	2299	2769	2167
Pnpla8	687	729	760	994	800	1178	1410	919	1250	1162
Pnpo	726	533	608	821	517	920	1185	641	916	826
Pnpt1	805	1023	1252	1352	1059	1530	2000	1258	1569	1457
Pnrc1	4476	3244	3093	4892	4034	5163	6899	3966	5626	4923
Pnrc2	2508	2445	2711	4053	2760	3660	5047	2799	3842	3691
Poc1a	93	110	89	150	92	100	134	83	144	311
Poc1b	402	523	572	584	612	664	757	423	562	571
Poc5	531	437	607	678	582	777	825	490	660	600
Podn	0	0	0	0	0	0	0	0	0	0
Podnl1	391	326	381	390	410	741	952	990	661	478
