geneName	L21.Seq29.FA.11.WT.I	L22.Seq29.FA.11.KO.I	L23.Seq29.FA.12.WT.I	L24.Seq29.FA.12.KO.I	L25.Seq29.FA.13.WT.I	L26.Seq29.FA.13.KO.I	L27.Seq29.FA.14.WT.I	L28.Seq29.FA.14.KO.I	L29.Seq29.FA.15.WT.I	L30.Seq29.FA.15.KO.I
Tas2r136	0	0	0	0	0	0	0	0	0	0
Tas2r137	0	0	0	0	0	0	0	0	0	0
Tas2r138	0	0	0	0	0	0	0	0	0	0
Tas2r139	0	0	0	0	0	0	0	0	0	0
Tas2r140	0	0	0	0	0	0	0	0	0	0
Tas2r141-ps4	0	0	0	0	0	0	0	0	0	0
Tas2r142-ps5	0	0	0	0	0	0	0	0	0	0
Tas2r143	0	0	0	0	0	0	0	0	0	0
Tas2r144	0	0	0	0	0	0	0	0	0	0
Tas2r145-ps3	0	0	0	0	0	0	0	0	0	0
Tas2r146-ps1	0	0	0	0	0	0	0	0	0	0
Tasp1	501	292	406	341	366	388	490	424	325	472
Tat	0	0	0	0	0	0	0	0	0	0
Tatdn1	196	156	238	255	183	233	229	237	157	327
Tatdn2	84	57	58	83	70	66	72	96	36	67
Tatdn3	111	109	113	99	101	122	160	142	74	141
Tax1bp1	7796	7177	8447	6989	6060	6534	8230	9455	6631	9314
Tax1bp3	220	170	169	254	165	189	180	211	92	257
Taz	1583	1337	1551	1336	1424	1298	1594	1594	1185	1604
Tbata	0	0	0	0	0	0	0	0	0	0
Tbc1d1	2817	2033	1837	1401	1727	1755	2370	2059	1400	1618
Tbc1d10a	1003	763	729	817	775	804	1055	923	373	773
Tbc1d10b	2388	2030	1869	1809	1995	1869	2412	2297	1257	2165
Tbc1d10c	13197	10424	10657	12856	12321	11926	15489	13380	7999	18892
Tbc1d12	48	27	32	38	54	31	59	49	40	51
Tbc1d13	67	48	63	75	83	43	55	56	25	55
Tbc1d14	3416	2789	3028	2250	2354	2673	2877	3200	2138	3102
Tbc1d15	2069	1876	2512	1601	1760	1632	2166	2275	1959	2713
Tbc1d16	9	0	4	0	0	1	6	2	9	2
Tbc1d17	1078	941	907	1022	1041	829	1010	985	635	1070
Tbc1d19	80	57	124	93	122	75	73	105	66	120
Tbc1d2	660	636	500	722	784	719	908	921	361	763
Tbc1d20	1989	1751	1947	1644	1751	1991	2333	2178	1334	2257
Tbc1d21	0	0	0	0	0	0	0	0	0	0
Tbc1d22a	1120	813	767	868	810	718	871	1073	574	973
Tbc1d22b	888	587	583	665	680	741	730	900	595	748
Tbc1d22bos	7	16	4	18	10	12	15	16	12	28
Tbc1d23	360	340	359	349	242	277	361	388	256	439
Tbc1d24	11	6	20	2	14	21	12	0	1	22
Tbc1d25	407	334	282	382	413	321	450	543	206	612
Tbc1d2b	2596	2235	2225	1767	1984	1724	2497	2836	1865	1567
Tbc1d30	77	113	114	83	59	88	25	58	65	81
Tbc1d31	301	418	275	325	183	395	378	486	123	401
Tbc1d32	73	50	10	19	22	34	44	30	9	37
Tbc1d4	202	295	263	197	110	209	363	479	99	284
Tbc1d5	509	398	480	273	379	335	318	445	425	297
Tbc1d7	273	341	368	280	280	369	407	492	229	567
Tbc1d8	77	24	85	38	34	22	60	14	13	24
Tbc1d8b	288	276	236	191	169	177	184	127	94	97
Tbc1d9	4	13	22	4	4	1	0	0	0	0
Tbc1d9b	1817	1386	1788	1302	1458	1511	1923	2178	1050	1432
Tbca	631	670	576	786	643	677	831	810	627	1043
Tbcb	1513	1510	1234	1802	1540	1461	1747	1895	903	2264
Tbcc	734	611	670	682	622	623	781	706	363	763
Tbccd1	454	451	499	459	413	367	461	658	369	643
Tbcd	2397	1724	2302	1709	2231	2015	2262	2137	1461	2126
Tbce	1419	1356	1392	1104	1200	1123	1346	1399	1057	1534
Tbcel	575	595	729	608	545	524	601	719	521	612
Tbck	420	397	501	399	422	375	490	512	368	571
Tbk1	2659	2249	2725	2293	2298	2259	3153	2999	2121	3363
Tbkbp1	207	121	110	192	210	138	230	226	127	165
Tbl1x	2098	2073	2257	1720	1580	1765	1737	2281	1520	2645
Tbl1xr1	2238	2001	2532	2064	2106	2111	2204	2659	2308	2437
Tbl2	1346	1020	1145	1015	892	1039	1340	1350	677	1117
Tbl3	1303	999	1115	900	979	1140	1502	1215	674	1094
Tbp	829	806	1038	848	877	970	1172	986	696	1225
Tbpl1	1525	1296	1448	1334	1112	1166	1463	1570	1311	1525
Tbpl2	0	0	0	0	0	0	0	0	0	0
Tbr1	0	0	0	1	0	0	0	0	0	0
Tbrg1	2296	1885	1847	1957	1654	1769	2253	2224	1261	2488
Tbrg4	289	193	209	224	246	216	266	228	162	247
Tbx1	0	0	0	0	0	0	0	1	0	0
Tbx10	1	2	1	0	0	0	0	0	0	0
Tbx15	0	0	0	0	0	0	0	0	0	0
Tbx18	0	0	0	0	0	0	0	0	0	0
Tbx19	0	1	0	0	0	0	0	0	0	0
Tbx2	1	0	0	0	0	0	0	6	0	0
Tbx20	0	0	0	0	0	0	0	0	0	0
Tbx21	9078	7843	9108	10959	8329	7688	10288	11473	5562	10498
Tbx22	0	0	0	0	0	0	0	0	0	0
Tbx3	0	0	0	0	0	0	0	0	0	0
Tbx3os1	0	0	0	0	0	0	0	0	1	0
Tbx3os2	0	0	0	0	0	0	0	0	0	0
Tbx4	0	0	0	0	0	0	0	1	0	0
Tbx5	0	0	0	0	0	0	0	0	0	1
Tbx6	16	6	13	7	17	13	7	3	11	15
